,1,10,100,1000,ccsd(t)
Li2,-0.03783934865126292,0.18073627499591824,0.29305755013109835,0.2945585710349959,0.34
HF,-0.6682395044654716,-0.6518286706047939,-0.6518265475784051,-0.6516948895749018,-0.66
LiH,0.23943043324899763,0.2714560339307273,0.27346494681280964,0.2734539448756053,-0.29
Ne,-6.078268851017713,-6.062425123035452,-6.063052311946252,-6.063161942382883,-5.09
H2,-1.3769597523980115,-1.36782339004517,-1.3678100993978728,-1.3678488417223171,-1.35
He,-2.9605893391556277,-2.9603368473829437,-2.9602111739166856,-2.960211968922997,-2.66
C3H8,-0.669190891435814,-0.5879843005057451,-0.5868263393610361,-0.586636414629715,-0.63
C2H6O,-0.591849780964038,-0.5101994702521938,-0.5081750389254526,-0.5079138995173546,-0.58
C3H6,-0.7145321926419002,-0.6287319915770554,-0.6266659225037655,-0.6263954633652276,-0.94
C2H4O,-0.5788779321450456,-0.5221603480465744,-0.5202988970584267,-0.5200294444262643,-0.54
C2H3Cl,-0.6489783057464668,-0.5444106777967469,-0.5392132792862971,-0.5388572121346832,-0.61
C2H3F,-0.6864933042240879,-0.6226974680790219,-0.6204943795422335,-0.6202102157396514,-0.65
B2H6,-0.6492944886210432,-0.5966263659092729,-0.5960881745686148,-0.5960304390180359,-0.52
SO2,2.3468464040570938,1.278730204429383,,,2.24
CH2O2,-0.6333181267584551,-0.5527708764179525,-0.5486149388667059,,-0.6
C4,2.8152477390809483,3.576405830573586,3.6425945333650636,,2.38
MgF2,0.2592497095202996,0.3727576753298121,0.3766172754425461,0.3770173968909555,0.29
OCS,-0.9366230954651944,-0.6874648078934253,-0.6702514331378561,,-1.43
CH4O,-0.6038020807280897,-0.5503213074837173,-0.5493106593117776,-0.5491411777239507,-0.59
H2NNH2,-0.6111125701771806,-0.532586097744437,-0.530168500405262,-0.5299511865557435,-0.6
HN3,-0.49172142830367443,-0.3078969972901668,-0.29967292565434406,,-0.51
C2H4,-0.7422740072144542,-0.6768996656148039,-0.6749643399347229,,-1.9
KH,0.257442887429853,0.28209341434033813,,,0.3
O3,1.383616920237691,,,,1.82
SiH4,-0.7170354984577205,-0.6495446776216378,-0.6489532189081315,-0.6489239850211685,-0.53
CO2,-0.8743511382549902,-0.7639989706388495,,,-0.88
HOOH,-0.6580399488134521,-0.5769359488366994,-0.5737482841295175,-0.5732303146939706,-0.96
Na2,0.03984939756032239,0.24232159801065312,0.3579856313166048,0.36054954967306263,0.36
NaCl,0.632169448531674,0.6730304465857944,0.6751955089323963,0.6754535512518672,0.67
C2H2,-0.7403198361112805,-0.6851960580519241,-0.684558354257597,,-0.8
CH2O,-0.6316525658008775,-0.5982366684779137,-0.5966909590868587,-0.5973676275819628,-0.6
P2,0.38868151139432255,0.6938051763785139,0.7336789416493515,,0.43
PH3,-0.6120743940899699,-0.5177611156587756,-0.5160162231675067,,-0.51
MgO,1.6057489203936637,1.911282676630979,,,1.54
PN,-0.08673891727173849,0.24802925708205548,0.2886796201109307,0.2931150567404355,-0.02
CH4,-0.700888322274482,-0.6660411435369633,-0.6657676717611465,,-0.65
HCN,-0.5541353500853851,-0.5184014747850858,-0.5180854307713829,-0.5180971443443173,-0.53
SH2,-0.5654708342700457,-0.47737947127195873,-0.47565320969636316,-0.47504377716022755,-0.52
NH3,-0.6225676469127985,-0.5763165508554146,-0.5757000426983622,-0.5756801184834573,-0.61
F2,1.260780777349583,1.7957879713832823,1.7817856470380653,,0.32
N2,-2.1124133393414337,-2.070820420793789,-2.070589511362682,,-2.37
CO,-1.6431154961195318,-1.5669066946344317,-1.5647986524178517,,-1.57
BF,-0.9038181377308016,-0.7978484003302826,-0.7969671785637935,-0.7971238725212997,-0.8
BH3,-0.15029740493482155,0.04077003223640838,0.04313550702872501,0.044777931382238526,-0.09
H2O,-0.6052798798389566,-0.5676865510079799,-0.5672524953160331,-0.5670001315719067,-0.61
BeO,1.88522950137756,1.6474581620585373,1.7989890002915072,,2.17
BN,2.9922368374462875,2.780911780134701,2.774296638445649,2.7736285919949837,3.02
LiF,0.32011738007051743,0.34074308729901154,0.3424390290559241,,0.35
HCl,-0.5809298146944982,-0.5212941837094839,-0.5205776696646898,-0.520283751237674,-0.57
Ar,-3.3318253962369684,-3.2639504426181984,-3.2633151213781804,-3.263164804684113,-2.55
